league,matchid,inningsno,bowlingteam,bowlername,overs,maidens,runsconceded,wickets,econ
224,3947,1,PETIT PANTHERS (ISDT 8.0),Sachin Jadhavar,4.0,1.0,19.0,1.0,4.75
224,3947,1,PETIT PANTHERS (ISDT 8.0),Kashif Shaikh,4.0,0.0,9.0,1.0,2.25
224,3947,1,PETIT PANTHERS (ISDT 8.0),Munawar Mansuri,4.0,0.0,36.0,1.0,9.0
224,3947,1,PETIT PANTHERS (ISDT 8.0),Harshraj Alaspure,3.0,0.0,32.0,2.0,10.67
224,3947,2,OIS BLASTERS (ISDT 8.0),Vinod Lund,4.0,0.0,28.0,4.0,7.0
224,3947,2,OIS BLASTERS (ISDT 8.0),Piyush Patel,4.0,0.0,22.0,0.0,5.5
224,3947,2,OIS BLASTERS (ISDT 8.0),Shomik .,2.0,0.0,11.0,1.0,5.5
224,3947,2,OIS BLASTERS (ISDT 8.0),Amitraj Bachher,4.0,0.0,25.0,1.0,6.25
224,3947,2,OIS BLASTERS (ISDT 8.0),Jay Parikh,3.0,0.0,22.0,1.0,7.33
224,3947,2,OIS BLASTERS (ISDT 8.0),Chirag .,3.0,0.0,24.0,0.0,8.0
224,3948,1,PODAR PHANTOMS (ISDT 8.0),Raviraj Shetty,4.0,0.0,18.0,3.0,4.5
224,3948,1,PODAR PHANTOMS (ISDT 8.0),Jay Samant,4.0,0.0,29.0,0.0,7.25
224,3948,1,PODAR PHANTOMS (ISDT 8.0),Viren Shah,3.0,0.0,19.0,0.0,6.33
224,3948,1,PODAR PHANTOMS (ISDT 8.0),Paresh Shah,3.0,0.0,23.0,0.0,7.67
224,3948,1,PODAR PHANTOMS (ISDT 8.0),Jayan Shah,1.0,0.0,7.0,0.0,7.0
224,3948,1,PODAR PHANTOMS (ISDT 8.0),Abhishek Singh,2.0,0.0,9.0,2.0,4.5
224,3948,1,PODAR PHANTOMS (ISDT 8.0),Mahesh Sadhwani,3.0,0.0,14.0,1.0,4.67
224,3948,2,AB WARRIORS (ISDT 8.0),Janak Sanghvi,2.0,0.0,24.0,1.0,12.0
224,3948,2,AB WARRIORS (ISDT 8.0),Krupesh Ved,4.0,0.0,26.0,0.0,6.5
224,3948,2,AB WARRIORS (ISDT 8.0),Manish Jain,4.0,0.0,30.0,0.0,7.5
224,3948,2,AB WARRIORS (ISDT 8.0),Shailendra Jhingan,2.0,0.0,19.0,0.0,9.5
224,3948,2,AB WARRIORS (ISDT 8.0),Ravi Makharia,3.0,0.0,28.0,1.0,9.33
224,3950,1,JNS MUSTANGS (ISDT 8.0),Hitesh Patel,3.0,0.0,15.0,2.0,5.0
224,3950,1,JNS MUSTANGS (ISDT 8.0),Rohit Saraf,4.0,0.0,32.0,2.0,8.0
224,3950,1,JNS MUSTANGS (ISDT 8.0),Ronak Sachdeva,4.0,0.0,15.0,1.0,3.75
224,3950,1,JNS MUSTANGS (ISDT 8.0),Rajeev Asija,2.0,0.0,15.0,0.0,7.5
224,3950,1,JNS MUSTANGS (ISDT 8.0),Hemal Chitalia,4.0,0.0,42.0,3.0,10.5
224,3950,1,JNS MUSTANGS (ISDT 8.0),Gokul Patel,1.0,0.0,12.0,0.0,12.0
224,3950,1,JNS MUSTANGS (ISDT 8.0),Jaymin Shah,2.0,0.0,18.0,0.0,9.0
224,3950,2,GE ROARING TIGERS (ISDT 8.0),Prasad Arolkar,4.0,0.0,17.0,3.0,4.25
224,3950,2,GE ROARING TIGERS (ISDT 8.0),Yogesh Wagh,2.3,0.0,6.0,2.0,2.4
224,3950,2,GE ROARING TIGERS (ISDT 8.0),Mayur Desai,2.0,0.0,15.0,2.0,7.5
224,3950,2,GE ROARING TIGERS (ISDT 8.0),Kedar Kango,3.0,0.0,14.0,0.0,4.67
224,3950,2,GE ROARING TIGERS (ISDT 8.0),Santosh Jadhav,1.0,0.0,10.0,0.0,10.0
224,3950,2,GE ROARING TIGERS (ISDT 8.0),Chittranjan Prabhu,2.0,0.0,11.0,1.0,5.5
224,3950,2,GE ROARING TIGERS (ISDT 8.0),Kiran Pednekar,2.0,0.0,17.0,1.0,8.5
224,3952,1,SCOTTISH STARS (ISDT 8.0),Shashank .,4.0,1.0,20.0,3.0,5.0
224,3952,1,SCOTTISH STARS (ISDT 8.0),Prateek .,4.0,0.0,30.0,1.0,7.5
224,3952,1,SCOTTISH STARS (ISDT 8.0),Fahad Jameel,2.0,0.0,14.0,0.0,7.0
224,3952,1,SCOTTISH STARS (ISDT 8.0),Vruturaj .,4.0,0.0,30.0,1.0,7.5
224,3952,1,SCOTTISH STARS (ISDT 8.0),Prerak .,4.0,0.0,37.0,0.0,9.25
224,3952,1,SCOTTISH STARS (ISDT 8.0),Amit Makheja,2.0,0.0,20.0,0.0,10.0
224,3952,2,CATHEDRAL KNIGHTS (ISDT 8.0),Abhijat Sanghvi,2.0,0.0,26.0,0.0,13.0
224,3952,2,CATHEDRAL KNIGHTS (ISDT 8.0),Sahil Shah,4.0,0.0,22.0,0.0,5.5
224,3952,2,CATHEDRAL KNIGHTS (ISDT 8.0),Pranay .,2.0,0.0,34.0,0.0,17.0
224,3952,2,CATHEDRAL KNIGHTS (ISDT 8.0),Vishal Vora,4.0,0.0,21.0,2.0,5.25
224,3952,2,CATHEDRAL KNIGHTS (ISDT 8.0),Mihir Mehta,4.0,0.0,20.0,1.0,5.0
224,3952,2,CATHEDRAL KNIGHTS (ISDT 8.0),Gautam Sahni,1.0,0.0,16.0,0.0,16.0
224,3952,2,CATHEDRAL KNIGHTS (ISDT 8.0),Ryan Rodrigues,1.0,0.0,9.0,0.0,9.0
224,3957,1,SCOTTISH STARS (ISDT 8.0),Mayur .,4.0,0.0,22.0,0.0,5.5
224,3957,1,SCOTTISH STARS (ISDT 8.0),Shashank .,4.0,0.0,37.0,2.0,9.25
224,3957,1,SCOTTISH STARS (ISDT 8.0),Prateek .,4.0,0.0,48.0,0.0,12.0
224,3957,1,SCOTTISH STARS (ISDT 8.0),Fahad Jameel,3.0,0.0,27.0,0.0,9.0
224,3957,1,SCOTTISH STARS (ISDT 8.0),Prerak .,4.0,0.0,35.0,3.0,8.75
224,3957,1,SCOTTISH STARS (ISDT 8.0),Nikhil .,1.0,0.0,15.0,0.0,15.0
224,3957,2,PODAR PHANTOMS (ISDT 8.0),Raviraj Shetty,3.0,0.0,28.0,1.0,9.33
224,3957,2,PODAR PHANTOMS (ISDT 8.0),Jay Samant,3.0,0.0,15.0,2.0,5.0
224,3957,2,PODAR PHANTOMS (ISDT 8.0),Paresh Shah,4.0,0.0,24.0,4.0,6.0
224,3957,2,PODAR PHANTOMS (ISDT 8.0),Abhishek Singh,3.0,1.0,8.0,1.0,2.67
224,3957,2,PODAR PHANTOMS (ISDT 8.0),Amol Kalyanpur,1.0,0.0,7.0,0.0,7.0
224,3957,2,PODAR PHANTOMS (ISDT 8.0),Viren Shah,2.0,0.0,16.0,0.0,8.0
224,3957,2,PODAR PHANTOMS (ISDT 8.0),Rushi Ardeshna,2.0,0.0,15.0,0.0,7.5
224,3957,2,PODAR PHANTOMS (ISDT 8.0),Jay Bharadwaj,2.0,0.0,22.0,0.0,11.0
224,3958,1,OIS TIGERS (ISDT 8.0),Nishant Shah,4.0,0.0,38.0,3.0,9.5
224,3958,1,OIS TIGERS (ISDT 8.0),Abhishek Dutt,1.0,0.0,14.0,0.0,14.0
224,3958,1,OIS TIGERS (ISDT 8.0),Nimit Parikh,4.0,0.0,36.0,1.0,9.0
224,3958,1,OIS TIGERS (ISDT 8.0),Sahil Shah,4.0,0.0,25.0,1.0,6.25
224,3958,1,OIS TIGERS (ISDT 8.0),Manav Gohil,3.0,0.0,34.0,0.0,11.33
224,3958,1,OIS TIGERS (ISDT 8.0),Ajit Virwani,2.0,0.0,13.0,1.0,6.5
224,3958,1,OIS TIGERS (ISDT 8.0),Vikram Panjwani,2.0,0.0,22.0,0.0,11.0
224,3958,2,UTPAL WARRIORS (ISDT 8.0),Shailesh Maniya,4.0,0.0,39.0,1.0,9.75
224,3958,2,UTPAL WARRIORS (ISDT 8.0),Abhishek Sunny,2.0,0.0,37.0,0.0,18.5
224,3958,2,UTPAL WARRIORS (ISDT 8.0),Deven Dhruva,4.0,0.0,19.0,0.0,4.75
224,3958,2,UTPAL WARRIORS (ISDT 8.0),Asgar Khan,4.0,0.0,25.0,1.0,6.25
224,3958,2,UTPAL WARRIORS (ISDT 8.0),Gautam Sheth,2.0,0.0,23.0,1.0,11.5
224,3958,2,UTPAL WARRIORS (ISDT 8.0),Pratik Desai,4.0,0.0,30.0,0.0,7.5
224,3959,1,USG GLADDIATORS (ISDT 8.0),Shreyansh Jain,4.0,0.0,19.0,1.0,4.75
224,3959,1,USG GLADDIATORS (ISDT 8.0),Ritesh Bhalani,4.0,0.0,20.0,3.0,5.0
224,3959,1,USG GLADDIATORS (ISDT 8.0),Alok Modi,4.0,0.0,19.0,1.0,4.75
224,3959,1,USG GLADDIATORS (ISDT 8.0),Ronak Mehta,4.0,1.0,13.0,1.0,3.25
224,3959,1,USG GLADDIATORS (ISDT 8.0),Anand Bachawat,3.0,0.0,21.0,1.0,7.0
224,3959,1,USG GLADDIATORS (ISDT 8.0),Vipin Jain,1.0,0.0,7.0,0.0,7.0
224,3959,2,OIS BLASTERS (ISDT 8.0),Vinod Lund,3.0,0.0,29.0,0.0,9.67
224,3959,2,OIS BLASTERS (ISDT 8.0),Amitraj Bachher,1.0,0.0,13.0,0.0,13.0
224,3959,2,OIS BLASTERS (ISDT 8.0),Jay Parikh,1.0,0.0,12.0,0.0,12.0
224,3959,2,OIS BLASTERS (ISDT 8.0),Amanpreet Singh,1.0,0.0,7.0,0.0,7.0
224,3959,2,OIS BLASTERS (ISDT 8.0),Anshul Lodha,1.0,0.0,14.0,0.0,14.0
224,3959,2,OIS BLASTERS (ISDT 8.0),Shomik .,1.0,0.0,14.0,0.0,14.0
224,3959,2,OIS BLASTERS (ISDT 8.0),Gautam M,1.0,0.0,9.0,0.0,9.0
224,3960,1,AVM YODDHAS (ISDT 8.0),Rishi Mapara,4.0,0.0,30.0,2.0,7.5
224,3960,1,AVM YODDHAS (ISDT 8.0),Saurabh Mehta,4.0,0.0,26.0,1.0,6.5
224,3960,1,AVM YODDHAS (ISDT 8.0),Sachin Matani,4.0,0.0,24.0,1.0,6.0
224,3960,1,AVM YODDHAS (ISDT 8.0),Sivanandan Konar,3.0,0.0,23.0,1.0,7.67
224,3960,1,AVM YODDHAS (ISDT 8.0),Vishal Pandey,3.0,0.0,27.0,1.0,9.0
224,3960,1,AVM YODDHAS (ISDT 8.0),Chetan Kapoor,1.0,0.0,5.0,0.0,5.0
224,3960,1,AVM YODDHAS (ISDT 8.0),Nilay Shah,1.0,0.0,17.0,1.0,17.0
224,3960,2,GE ROARING TIGERS (ISDT 8.0),Prasad Arolkar,4.0,0.0,25.0,1.0,6.25
224,3960,2,GE ROARING TIGERS (ISDT 8.0),Yogesh Wagh,1.0,0.0,19.0,0.0,19.0
224,3960,2,GE ROARING TIGERS (ISDT 8.0),Kiran Pednekar,3.0,0.0,31.0,0.0,10.33
224,3960,2,GE ROARING TIGERS (ISDT 8.0),Arvind Shetty,4.0,0.0,32.0,0.0,8.0
224,3960,2,GE ROARING TIGERS (ISDT 8.0),Sanjay Chandiramani,1.0,0.0,12.0,1.0,12.0
224,3960,2,GE ROARING TIGERS (ISDT 8.0),Kedar Kango,2.0,0.0,23.0,0.0,11.5
224,3960,2,GE ROARING TIGERS (ISDT 8.0),Chittranjan Prabhu,1.0,0.0,9.0,0.0,9.0
224,3960,2,GE ROARING TIGERS (ISDT 8.0),Vikrant Pathare,0.2,0.0,12.0,0.0,36.0
224,3979,1,USG GLADDIATORS (ISDT 8.0),Shreyansh Jain,4.0,0.0,34.0,2.0,8.5
224,3979,1,USG GLADDIATORS (ISDT 8.0),Ritesh Bhalani,4.0,0.0,36.0,1.0,9.0
224,3979,1,USG GLADDIATORS (ISDT 8.0),Ronak Mehta,4.0,0.0,27.0,0.0,6.75
